               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.017073,           0.0077419,           0.0021518,             0.96564,              0.9669,              0.9774,             0.84862,            0.010151,           0.0023024,           0.0001746,            0.003268,            0.003268,            0.003268
                 104,            0.018186,           0.0078114,           0.0025582,             0.95329,             0.96775,             0.97751,             0.86098,            0.010104,           0.0023898,          9.8807e-05,            0.003202,            0.003202,            0.003202
                 105,            0.017688,           0.0079121,           0.0026493,             0.94736,             0.97348,             0.97374,             0.85152,            0.010102,           0.0023828,          0.00016621,            0.003136,            0.003136,            0.003136
                 106,            0.017695,           0.0078796,           0.0023045,             0.94884,             0.97505,             0.97384,             0.85111,            0.010185,           0.0023718,           0.0001073,             0.00307,             0.00307,             0.00307
                 107,            0.017258,           0.0076858,           0.0027848,             0.97473,             0.95179,             0.96632,             0.84078,            0.010472,           0.0024021,          0.00011307,            0.003004,            0.003004,            0.003004
                 108,            0.016861,           0.0076795,            0.002565,             0.97496,              0.9646,              0.9776,             0.85232,             0.00967,           0.0024096,           0.0001548,            0.002938,            0.002938,            0.002938
                 109,            0.017095,           0.0075401,           0.0025862,             0.96913,             0.97203,             0.97757,             0.85224,           0.0093647,           0.0024024,          0.00036185,            0.002872,            0.002872,            0.002872
                 110,            0.016989,           0.0076318,            0.002132,             0.95563,             0.99354,               0.995,             0.85794,           0.0092583,           0.0022942,          0.00014359,            0.002806,            0.002806,            0.002806
                 111,            0.017494,           0.0076735,           0.0029294,             0.95641,             0.99724,               0.995,             0.84698,            0.010226,             0.00239,          0.00030294,             0.00274,             0.00274,             0.00274
                 112,            0.016075,           0.0075954,           0.0022523,             0.95685,                   1,               0.995,             0.85538,           0.0094016,           0.0024202,          0.00011641,            0.002674,            0.002674,            0.002674
                 113,            0.016434,           0.0074473,           0.0020795,             0.97286,             0.95779,             0.97745,             0.85301,            0.010502,           0.0024443,          0.00013657,            0.002608,            0.002608,            0.002608
                 114,            0.016718,           0.0075571,           0.0021944,             0.94093,             0.96508,             0.97765,             0.84522,           0.0097577,           0.0024433,          6.0631e-05,            0.002542,            0.002542,            0.002542
                 115,            0.016611,            0.007579,           0.0020751,             0.95681,             0.99603,               0.995,             0.84324,            0.010517,           0.0023652,          4.6076e-05,            0.002476,            0.002476,            0.002476
                 116,            0.016445,           0.0075181,           0.0018985,             0.94031,             0.98182,              0.9775,             0.84974,           0.0095213,           0.0024024,           5.932e-05,             0.00241,             0.00241,             0.00241
                 117,            0.016778,           0.0074905,           0.0017436,             0.96769,             0.99375,               0.995,             0.86064,           0.0099142,           0.0023921,          5.4665e-05,            0.002344,            0.002344,            0.002344
                 118,            0.016579,           0.0073293,           0.0023391,             0.95015,             0.98129,              0.9776,             0.86288,           0.0094957,           0.0024544,          4.9125e-05,            0.002278,            0.002278,            0.002278
                 119,            0.016332,           0.0074117,           0.0018744,             0.96138,             0.99436,               0.995,             0.86392,           0.0096989,           0.0024387,          4.8846e-05,            0.002212,            0.002212,            0.002212
                 120,            0.015955,           0.0073883,           0.0015894,             0.95699,                   1,               0.995,             0.85913,           0.0094576,           0.0024602,          2.9799e-05,            0.002146,            0.002146,            0.002146
                 121,            0.016609,           0.0075582,           0.0014936,             0.97063,             0.96263,             0.97771,             0.85549,           0.0095159,           0.0024097,           5.478e-05,             0.00208,             0.00208,             0.00208
                 122,            0.016188,           0.0072896,            0.002016,             0.95662,             0.97042,             0.97765,             0.84725,            0.010543,           0.0024256,          7.3203e-05,            0.002014,            0.002014,            0.002014
                 123,            0.015549,           0.0073586,           0.0026665,             0.96857,             0.96686,              0.9778,              0.8663,            0.010378,           0.0024032,          6.1648e-05,            0.001948,            0.001948,            0.001948
                 124,            0.015815,           0.0073225,            0.001924,             0.94768,             0.97535,             0.97761,             0.85684,            0.010016,           0.0024017,          4.6781e-05,            0.001882,            0.001882,            0.001882
                 125,            0.015828,           0.0072663,           0.0020066,             0.94525,             0.97937,             0.97782,             0.85246,           0.0095163,           0.0024336,          4.0093e-05,            0.001816,            0.001816,            0.001816
                 126,            0.015465,           0.0072585,           0.0015468,              0.9688,             0.96594,             0.97798,             0.85701,           0.0095798,           0.0024363,          4.8403e-05,             0.00175,             0.00175,             0.00175
                 127,            0.015898,           0.0070712,           0.0014799,             0.96166,             0.99532,               0.995,             0.86702,           0.0090797,           0.0025028,           4.424e-05,            0.001684,            0.001684,            0.001684
                 128,            0.015555,           0.0073161,            0.002076,             0.96827,             0.97389,             0.97823,             0.85802,           0.0090866,            0.002518,          3.6856e-05,            0.001618,            0.001618,            0.001618
                 129,            0.015038,           0.0070954,           0.0014078,             0.95408,             0.99997,               0.995,              0.8619,           0.0095251,           0.0024403,          3.9249e-05,            0.001552,            0.001552,            0.001552
                 130,            0.015582,           0.0071647,            0.002165,             0.95558,             0.99412,               0.995,             0.85316,           0.0096565,           0.0024979,          4.4232e-05,            0.001486,            0.001486,            0.001486
                 131,            0.015356,           0.0072839,           0.0019536,             0.93644,             0.97323,             0.97777,             0.86083,           0.0096405,           0.0024069,          2.8808e-05,             0.00142,             0.00142,             0.00142
                 132,            0.015672,           0.0073107,            0.001902,             0.93374,             0.98182,             0.97777,             0.85577,           0.0096414,           0.0024255,           2.289e-05,            0.001354,            0.001354,            0.001354
                 133,            0.015169,           0.0071801,           0.0014152,             0.94081,             0.98182,             0.97798,             0.85785,            0.009484,           0.0024485,          2.5169e-05,            0.001288,            0.001288,            0.001288
                 134,            0.015193,           0.0070674,           0.0014606,             0.93899,             0.98182,             0.97801,             0.85854,           0.0094525,           0.0024332,           2.557e-05,            0.001222,            0.001222,            0.001222
                 135,            0.014994,           0.0071168,           0.0014348,             0.94358,             0.97461,              0.9774,              0.8544,           0.0095517,           0.0024022,          2.4235e-05,            0.001156,            0.001156,            0.001156
                 136,            0.015092,            0.007185,           0.0016664,             0.95304,             0.96695,              0.9775,             0.85917,           0.0095923,           0.0023889,          2.6013e-05,             0.00109,             0.00109,             0.00109
                 137,            0.014567,           0.0068998,           0.0015431,             0.96362,             0.96629,             0.97754,             0.85724,           0.0093817,           0.0023576,          2.4685e-05,            0.001024,            0.001024,            0.001024
                 138,            0.014898,           0.0071722,           0.0013205,             0.94318,              0.9728,             0.97755,             0.86056,           0.0094403,           0.0023598,          2.1464e-05,            0.000958,            0.000958,            0.000958
                 139,              0.0147,           0.0070742,           0.0010733,             0.93487,             0.97576,             0.97765,             0.86594,           0.0096566,           0.0023477,          2.0231e-05,            0.000892,            0.000892,            0.000892
                 140,            0.014973,           0.0071362,           0.0019229,             0.93628,             0.97738,             0.97763,             0.87233,           0.0096773,            0.002359,          1.8162e-05,            0.000826,            0.000826,            0.000826
                 141,             0.01449,           0.0070171,           0.0013771,             0.93107,             0.98182,             0.97755,             0.86599,           0.0097495,           0.0023496,          1.5846e-05,             0.00076,             0.00076,             0.00076
                 142,            0.014346,           0.0070026,           0.0010571,               0.936,             0.98182,             0.97765,             0.86357,           0.0099126,           0.0023697,          1.6985e-05,            0.000694,            0.000694,            0.000694
                 143,            0.014673,           0.0069856,           0.0012439,             0.93606,             0.98182,             0.97767,             0.86033,           0.0099763,           0.0023617,          1.6334e-05,            0.000628,            0.000628,            0.000628
                 144,            0.014039,           0.0069086,           0.0012071,             0.93492,             0.98182,             0.97773,             0.86775,            0.010069,           0.0023604,          1.5941e-05,            0.000562,            0.000562,            0.000562
                 145,            0.014479,           0.0070551,           0.0015133,             0.93983,             0.98182,             0.97788,             0.86291,            0.010015,           0.0023672,          1.6104e-05,            0.000496,            0.000496,            0.000496
                 146,            0.013858,           0.0070586,           0.0011918,             0.94355,             0.97716,             0.97794,              0.8603,            0.010207,           0.0023789,           1.651e-05,             0.00043,             0.00043,             0.00043
                 147,            0.014186,           0.0069759,           0.0012517,             0.93817,              0.9792,             0.97798,             0.86424,           0.0099829,           0.0023712,          1.5998e-05,            0.000364,            0.000364,            0.000364
                 148,            0.014075,           0.0070494,          0.00094538,             0.93751,             0.98182,             0.97777,             0.86536,           0.0099104,           0.0023853,           1.585e-05,            0.000298,            0.000298,            0.000298
                 149,            0.013957,            0.006867,           0.0011258,             0.93914,             0.98182,             0.97782,             0.86626,           0.0098174,           0.0023817,          1.5744e-05,            0.000232,            0.000232,            0.000232
